Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
High School Counselors,"Northern Garrett High School: 301-746-8669
Southern Garrett High School: 301-334-1660",counseling,,,,,,,,2869
Garrett County Prevention Services,"The Garrett County Health Department offers numerous prevention services for alcohol, tobacco, opioids and prescription medications, and other drugs.",alcoholism;drug-abuse,,,,301-334-7730,http://garretthealth.org,,,3440
Alcohol Counseling/Treatment/DWI School,Several resources are available for alcohol counseling and treatment at the Garrett County Health Department.,alcoholism;counseling,,,,301-334-7670,http://garretthealth.org,,,2567
Adult Evaluation and Review Services - AERS,"Adult Evaluation &amp; Review Services (AERS) offers a free evaluation to assess Garrett County residents, 18 or older, for available community resources.  The goal of the program is to link clients with resources which may enable them to stay in their home as long as possible.  AERS evaluations are conducted in the individual's home or other locations as requested.  The AERS team consists of a registered nurse and licensed social worker who will develop a plan of care involving the client and the family as appropriate.  The AERS team works with multiple community agencies to provide a comprehensive evaluation and offer referrals for assessed individuals.

A referral for an AERS evaluation can be made by the individual, family member(s), healthcare provider, or others by calling 301-334-7740 or 301-895-3111.  Basic demographic information is helpful at the time of the call (name, address, date of birth, a basic idea of income/assets, and the reason for the referral).

After the evaluation is complete, the nurse will make recommendations to available community resources.  Although the AERS evaluation is free, many of the resources are income and asset based.  Resources may include: Alzheimer's education, private duty caregiver listings, in-home services (personal care attendant and/or light household chores), medication assistance, MedBank of Garrett County, Meals on Wheels, respite funds, clinical services (vision, hearing, dental/dentures, behavioral health etc.), housing and transportation assistance.

<em>A copy of our brochure is attached below.</em>

&nbsp;",alzheimers;aging-populations;community-action;disabled-populations;education;food;nursing-homes;housing;insurance;public-health;senior-citizen-services;transportation;veterans,,,,301-334-7740,http://garretthealth.org/aers/,,,7810
Alzheimer's Association,Alzheimer's Association,alzheimers,,,,1-800-443-2273,,,,1563
Western Potomac Chapter of the American Red Cross,"The Western Maryland Chapter of the Red Cross touches hundreds of lives every day. Our mission is to help people prevent, prepare for, and cope with emergencies. We are proud of the wide range of services that we provide to the citizens of Allegany, Carroll, Frederick, Garrett, and Washington Counties.",american-red-cross,,,,301-334-3810,http://www.redcross.org/local/maryland-delaware/chapters/wmd,https://www.facebook.com/ARCWMD/,RedcrossGCR,1742
Garrett County Animal Shelter,"The Garrett County Animal Shelter works to find animals permanent homes via both adoptions and animal rescues. The shelter is a mandatory Spay and Neuter Shelter. All animals adopted from the shelter must be neutered or spayed within 30 days of release from the shelter or within 30 days of reaching the age of six months, whichever is applicable. The rabies vaccination is required by law in the state of Maryland, West Virginia, and Pennsylvania. Garrett County law requires that all dogs and cats be licensed.",animal-assistance,bzimmerman@garrettcounty.org,,,,https://www.garrettcounty.org/animal-shelter,,,4471
Garrett County Humane Society,"The GCHS is a 501(c)(3) nonprofit, volunteer organization whose primary mission is to reduce the number of unwanted animals through promoting spaying and neutering by providing financial assistance to residents. We are the only organization that responds to hundreds of animal neglect calls each year.
We promote responsible animal care and the importance of having pets spayed/neutered.
Provide discount vouchers to those who need to have their pet spayed/neutered.
Provide limited monetary assistance for emergencies.
Work with the local government to support and improve animal welfare and control.
Receive and respond to animal neglect reports.
Though we are not an animal shelter, we do provide supportive services to the County Animal Shelter such as:
Promote animal adoptions by photographing adoptables to feature in The Republican.
Transport animals from the shelter to an Animal Hospital for emergency treatment then pay the medical bill. Assist the local ""rescue"" with transporting animals.
We are always looking for volunteers, so please contact us if you would like to help!

M, T, W, and F 8:00 a.m.-4:00 p.m. and Th 8:00 a.m.-6:00 p.m. (closed on Sat and Sun)",animal-assistance,,,,301-334-4470,http://www.garrettcohumanesociety.com/,https://www.facebook.com/GarrettCountyHumaneSociety,,309
Partner for Animal Welfare and Safety (PAWS),Partner for Animal Welfare and Safety (PAWS),,,,,301-334-3223,,,,2643
Mary Browning Senior Center,"The Area Agency on Aging provides an array of supportive services, which benefit older adults of Garrett County. Services are offered at the agency's senior centers and nutrition sites, as well as at the agency's administrative office. Many of the activities offered are in the form of social/recreational opportunities, i.e. crafts, bingo, painting, and cards. Other services include educational presentations. continuing education opportunities, trips, and legal referral. Additionally, the agency operates a telephone reassurance service for frail home-bound seniors.

Suport services, elder abuse, legal assistance, telephone reassurance, long-term care ombudsman, guardianship, health insurance counseling and advocacy, home delivered meals, nutrition counseling, assisted living, in-home services (65+), personal care, chores, and respite.",,,,,(301) 334-9431,http://www.garrettcac.org/,,,5850
Flowery Vale Health and Fitness,Flowery Vale Health and Fitness,aging-populations,,,,301-746-8050,http://www.garrettcac.org/index.php/aging-and-nutrition-services/flowery-vale-fitness-center,,,2432
Garrett Lakes Arts Festival (GLAF),"<p>In December 1986, a group of Garrett County residents gathered to explore that vision and a related proposal from local resident Kathryn Sincell and violinist Erick Friedman. The joint desire was to promote cultural and artistic activities in the County and to rekindle the Mountain Chautauqua spirit, once a hallmark of Garrett County life. A core of 22 citizens evolved from the originators, many of whom remained in leadership roles serving with dedication and distinction in the ensuing years. GLAF is a non-profit 501(3)(C) corporation.</p>",arts,,,,301-387-3082,http://artsandentertainment.org/,https://www.facebook.com/garrettlakesartsfestival/,,2616
Garrett Community Concert Band,Garrett Community Concert Band,arts,,,,301-387-4624,,,,2229
Garrett Choral Society,Garrett Choral Society,arts,,,,301-334-9404,,,,4039
Little Yough Summer Music Festival,Contact Michelle Ross for more information!,arts,,,,301-334-2691,http://agreatsmalltown.com/little-yough-music-festival.html,,,2124
Theatre on the Lake (TOTL),Ridgeview Valley Barn in McHenry,arts,,,,304-680-1002,http://www.totltheatre.org/,,,2202
Our Towne Theatre,"Our Mission

A theatre should be a cornerstone of its society.

Our Town Theatre will provide a wide variety of plays and other theatrical experiences to encourage the growth of knowledge and positive action in our community.

We strive to open the mind, inspire the imagination, animate the senses, nourish the spirit, and propagate humor.

We will nurture respect and compassion for others, and foster awareness, perseverance, and hope.

We will provide opportunities for the artistic development of artists and writers in the performing arts.

By maintaining high artistic standards and by understanding interrelating with our local citizens, we will endeavor to meet the needs of our community.",arts,,,,301-334-5640,https://ourtowntheatreblog.wordpress.com/,https://www.facebook.com/ourtowntheatre/,,1568
Garrett County Community Action,"The mission of Garrett County Community Action Committee, Inc., is to improve the quality of life for people in need by empowering them to become more self-sufficient and by providing essential services in collaboration and cooperation with partners.

After school programs, community and economic development, energy assistance, food resources, child development (head start), housing services, senior citizen resources, and transportation services.",community-action;counseling;aging-populations;crisis;food;housing,,,,(301) 334-9431,http://www.garrettcac.org/,,,5238
Art Gallery of Garrett College,Art Gallery of Garrett College,arts,,,,301-387-3024,,,,2443
Grantsville Historical Museum,Grantsville Historical Museum,arts,,,,301-895-5454,,,,1946
Oakland Historical Museum,Oakland Historical Museum,business;arts,,,,301-334-3226,http://www.garrettcountymuseums.com/historicalmuseum.html,,,2854
Garrett County Arts Council,Garrett County Arts Council,arts,,,,301-334-6580,http://garrettarts.org/,https://www.facebook.com/GCArtsCouncil/,,2225
Oakland Transportation Museum,Oakland Transportation Museum,arts,,,,301-334-1044,http://www.garrettcountymuseums.com/transportationmuseum.html,,,1608
BCCP,"Breast &amp; Cervical Cancer Prevention program in Personal Health at the Garrett County Health Department is a state and federally funded program to increase the breast and cervical cancer screening levels. The program can pay for the clinical breast exam by your own provider, a Pap test (as indicated), and a mammogram. It will also cover diagnostic tests, like a breast ultrasound and biopsy, along with further diagnostic tests for the cervix, like a colposcopy.

Eligibility: Garrett County female resident between 40-64 years of age, be either uninsured or underinsured (high deductible, co-pay), and under 250% of the Federal Poverty Guidelines.

To determine eligibility please call 301-334-7770.",cancer,,,,301-334-7770,http://garretthealth.org,,,3098
American Cancer Society,American Cancer Society,,,,,1-301-722-2145,http://www.cancer.org/,,,2139
Information Numbers,Information Numbers,,,,,1-800-227-2345,,,,2385
Visitor's Center,"Our mountains, rivers & lakes offer an abundance of activities in every vacation season! Boating, skiing, hiking, whitewater rafting, camping, or simply curling up by the fire—our area's natural beauty is the perfect destination whether you seek days full of activities or just plain relaxing. There's a Deep Creek Experience awaiting every member of the family in the Deep Creek Lake area and Garrett County, Maryland.",chamber-of-commerce,,,,301-387-4386,http://www.visitdeepcreek.com/,,,2682
Budget and Financial Counseling,Budget and Financial Counseling,,,,,301-777-8685,,,,2526
Crisis and Respite Counseling,Crisis and Respite Counseling,crisis,,,,301-334-1642,,,,1586
Hospice of Garrett County,"We provide personal and professional care to terminally ill patients and their families.

Our patient volunteers and staff go into the home, to the hospital, the nursing home and assisted living home, and make it possible for patients to live comfortably in an environment of personal individuality and dignity.

Our services include pain control, physical, emotional, social and spiritual support for the patient and the patients's family during the illness, and through the grief and bereavement process.",counseling;alzheimers;cancer;hospice;hospitals-and-health-services;nursing-homes;senior-citizen-services,,,,301-334-5151,http://www.hospiceofgarrettcounty.org/index.html,,,6270
The Dove Center,"<strong>Mission</strong>

The Dove Center provides safety, advocacy, and counseling to individuals whose lives have been shattered by domestic violence and/or sexual assault, and strives to expand public awareness of those issues.

<strong>Vision</strong>

We will strive:
To provide empathic, effective counseling and education, with the goal of having every client live free from abuse after leaving the program.
To emphasize innovation in the delivery of our services in an effort to reach as many victims as possible.
To create a community that recognizes and acknowledges domestic violence and sexual assault, and holds offenders accountable, thereby upholding victims' rights.
To change attitudes and beliefs which condone domestic violence and sexual assault, so as to prevent such crimes from occurring.",abused-persons;crisis;sexual-assault,,,,301-334-9000,http://www.gcdovecenter.org/,,,3504
Mt. Top Crisis Pregnancy Center,Mt. Top Crisis Pregnancy Center,crisis;pregnancy,,,,301-334-1058,,,,3667
Garrett County Lighthouse,"Garrett County Lighthouse, Inc. is a private nonprofit behavioral health organization since 1992 that provides psychiatric rehabilitation services, residential rehabilitation services, residential crisis services and respite services to adults with serious and persistent mental illness in Garrett County, MD. Residential crisis and respite services are also provided in Allegany County. Delivery of services meets the needs of the individual in a manner that is respectful, responsive, and responsible.",counseling;ah;respite-services,,,,301-334-9126,http://www.garrettcountylighthouse.org/,,,4273
Maryland Society for Sight,Maryland Society for Sight,disabled-populations,,,,1-410-243-2020,,,,2658
Maryland School for the Blind,Maryland School for the Blind,disabled-populations,,,,1-410-444-5000,,,,1867
Blind Industries,Blind Industries,disabled-populations,,,,1-410-737-2600,,,,2151
Wrap Around Child Day Care,For resources and referrals.,day-care,,,,301-334-9431,,,,1504
Students in Crisis,Students in Crisis,crisis,,,,800-422-0009,,,,1518
"Western Maryland Child Care Resource Center, Inc.",For resources and referrals.,day-care,,,,1-800-924-9188,,,,1927
Safe Harbor,"Residential Crisis Services (RCS) are designated to prevent a psychiatric inpatient admission, shorten the length of inpatient stay, and reduce the pressure on general hospital emergency departments. Referrals for Residential Crisis Services (RCS) can be written by a licensed mental health professional. The mental health professional must evaluate the client and determine that Residential Crisis Services (RCS) are the most appropriate level of care. Safe Harbor staff assist clients by helping them to recognize and take preventive action in an effort to resolve situations that could potentially lead to crisis. Clients are linked with services and supports in the community which include, but are not limited to, financial, educational, social, medical, and mental health resources that will enable the client to return to their previous living situation or to secure an alternative living situation, if necessary. Residential Crisis Services are offered through a home-like environment that provides goal-directed services to facilitate safe discharge back into the community.

Garrett County Lighthouse, Inc. Respite Care Services (RPCS), locates at Safe Harbor and Compass House, are provided as needed for an individual who needs advanced planning or in situations where Respite Care Services (RPCS) could potentially resolve or ameliorate a problem in the individual’s living situation. Referrals for Respite Care Services (RPCS) can be written by a licensed mental health professional. Clients with Medical Assistance and Uninsured Eligible clients are eligible for Respite Care Services (RPCS).",crisis;respite-services,safeharbor@gclighthouse.org,301-750-7307,,301-334-1642,http://garrettcountylighthouse.org,https://www.facebook.com/GarrettCountyLighthouseInc/,,3228
Medical Emergency,Please call 911.,crisis,,,,911,,,,1522
Homeless Assistance,Homeless Assistance,crisis,,,,301-334-9431,,,,1253
Elder Abuse,"The Maryland Long Term Care Ombudsman Program helps residents in long-term care facilities maintain their legal rights, personal dignity and control over their own lives. The Ombudsman Program is authorized by the Older Americans Act and Maryland law.

The Maryland Department of Aging, in partnership with the Area Agencies on Aging, provides leadership and advocacy for older Marylanders and their families through information, education, programs and services which promote and enhance choice, independence and dignity.",aging-populations;abused-persons,,,,301-334-9431 ext. 6140,,,,2847
AAA,AAA,crisis,,,,301-334-9431 ext. 149,,,,3007
Angel of Mercy,Angel of Mercy,crisis,,,,301-334-6905,,,,1617
Appalachian Crossroads,"(Appalachian Parent Association), aka Appalachian Crossroads, operates for the purpose of providing personnel, services, activities, programs, and facilities for the evaluation, training, employment, socialization, support, and transportation of persons who have developmental disabilities, handicaps, economic disadvantages, or are aged, to enable them to become more productive and functional members of society, to promote their quality of life, or to maintain themselves in the community.

The 100+ individuals served range from being profoundly handicapped to very mildly handicapped, young adults to seniors, and in good health to having complex medical needs. To meet the needs of such a diverse group, the agency provides a full continuum of services aimed at assisting individuals to have the supports necessary to live, work, and socialize in the community according to their preferences and abilities.

Appalachian Crossroads values living in the community, meaningful age-appropriate activities, choice, dignity of risk and interdependence.
The agency has developed a broad continuum of services and supports in alignment with its values and with the needs and preferences of the people we serve.

Our services enable people to live, work, play, and retire.",disabled-populations,,,,301-334-8449,http://appalachiancrossroads.com,,,3258
The Mental Health Center,The Mental Health Center,counseling,,,,301-689-5034,,,,2513
Appalachian Parent Association,"APA (Appalachian Parent Association), aka Appalachian Crossroads, operates for the purpose of providing personnel, services, activities, programs, and facilities for the evaluation, training, employment, socialization, support, and transportation of persons who have developmental disabilities, handicaps, economic disadvantages, or are aged, to enable them to become more productive and functional members of society, to promote their quality of life, or to maintain themselves in the community.

The 100+ individuals served range from being profoundly handicapped to very mildly handicapped, young adults to seniors, and in good health to having complex medical needs. To meet the needs of such a diverse group, the agency provides a full continuum of services aimed at assisting individuals to have the supports necessary to live, work, and socialize in the community according to their preferences and abilities.

Appalachian Crossroads values living in the community, meaningful age-appropriate activities, choice, dignity of risk and interdependence.
The agency has developed a broad continuum of services and supports in alignment with its values and with the needs and preferences of the people we serve.

Our services enable people to live, work, play, and retire.",day-care;disabled-populations,,,,301-334-8449,,,,2845
Garrett Regional Medical Center,"<strong>Garrett Regional Medical Center (GRMC)</strong>

Garrett Regional Medical Center is an award-winning, progressive, Joint Commission accredited acute care facility with 55 inpatient beds in Oakland, Maryland.  The hospital serves a population of 46,000 within Garrett County and surrounding communities in Maryland, Pennsylvania and West Virginia.  Originally established in 1950, the hospital has continuously evolved to advance the health and wellness needs of the region. Through its clinical affiliation with WVU Medicine, GRMC offers comprehensive health care services unique to a rural location. GRMC is one of the county’s largest employers with more than 450 team members, who are each dedicated to our mission of striving to treat every patient like family.  Learn more at <a href=""https://www.grmc-wvumedicine.org/"">https://www.grmc-wvumedicine.org/</a>

GRMC Services include:
<ul class=""mega-sub-menu"">
 	<li id=""mega-menu-item-nav_menu-9"" class=""mega-menu-item mega-menu-item-type-widget widget_nav_menu mega-menu-columns-1-of-2 mega-menu-item-nav_menu-9"">
<div class=""menu-services-left-container"">
<ul id=""menu-services-left"" class=""menu"">
 	<li id=""menu-item-1264"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1264""><a href=""https://www.grmc-wvumedicine.org/services/cardiopulmonary"">Cardiopulmonary</a></li>
 	<li id=""menu-item-1263"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1263""><a href=""https://www.grmc-wvumedicine.org/services/%ef%bb%bfcardiac-and-pulmonary-rehabilitation-center"">Cardiac and Pulmonary Rehabilitation Center</a></li>
 	<li id=""menu-item-1262"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1262""><a href=""https://www.grmc-wvumedicine.org/services/cancer-care"">Cancer Care and Infusion Services</a></li>
 	<li id=""menu-item-2110"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-2110""><a href=""https://www.grmc-wvumedicine.org/services/colorectal-surgery"">Colorectal Surgery</a></li>
 	<li id=""menu-item-1778"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1778""><a href=""https://www.grmc-wvumedicine.org/services/dermatology"">Dermatology</a></li>
 	<li id=""menu-item-1261"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1261""><a href=""https://www.grmc-wvumedicine.org/services/diabetes-and-nutrition"">Diabetes &amp; Nutrition</a></li>
 	<li id=""menu-item-1260"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1260""><a href=""https://www.grmc-wvumedicine.org/services/emergency-services"">Emergency Services</a></li>
 	<li id=""menu-item-1259"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1259""><a href=""https://www.grmc-wvumedicine.org/services/family-centered-maternity-suite"">Family-Centered Maternity Suite</a></li>
 	<li id=""menu-item-2109"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-2109""><a href=""https://www.grmc-wvumedicine.org/services/generalsurgery"">General Surgery</a></li>
 	<li id=""menu-item-1536"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1536""><a href=""https://www.grmc-wvumedicine.org/services/heart-vascular"">Heart &amp; Vascular</a></li>
 	<li id=""menu-item-1258"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1258""><a href=""https://www.grmc-wvumedicine.org/services/inpatient-services"">Inpatient Services</a></li>
 	<li id=""menu-item-1375"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1375""><a href=""https://www.grmc-wvumedicine.org/internal-medicine"">Internal Medicine</a></li>
 	<li id=""menu-item-1277"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1277""><a href=""https://www.grmc-wvumedicine.org/services/laboratory"">Laboratory</a></li>
 	<li id=""menu-item-1376"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1376""><a href=""https://www.grmc-wvumedicine.org/additional-services"">Nephrology</a></li>
</ul>
</div></li>
 	<li id=""mega-menu-item-nav_menu-11"" class=""mega-menu-item mega-menu-item-type-widget widget_nav_menu mega-menu-columns-1-of-2 mega-menu-item-nav_menu-11"">
<div class=""menu-services-right-container"">
<ul id=""menu-services-right"" class=""menu"">
 	<li id=""menu-item-2111"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-2111""><a href=""https://www.grmc-wvumedicine.org/ophthalmology"">Ophthalmology</a></li>
 	<li id=""menu-item-1780"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1780""><a href=""https://www.grmc-wvumedicine.org/services/orthopaedics"">Orthopaedics</a></li>
 	<li id=""menu-item-1281"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1281""><a href=""https://www.grmc-wvumedicine.org/services/palliative-care"">Palliative Care</a></li>
 	<li id=""menu-item-1282"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1282""><a href=""https://www.grmc-wvumedicine.org/services/pastoral-and-spiritual-care"">Pastoral and Spiritual Care</a></li>
 	<li id=""menu-item-1283"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1283""><a href=""https://www.grmc-wvumedicine.org/services/physical-therapy"">Physical, Occupational and Speech Therapy</a></li>
 	<li id=""menu-item-1284"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1284""><a href=""https://www.grmc-wvumedicine.org/services/radiology"">Radiology and MRI Services</a></li>
 	<li id=""menu-item-1417"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1417""><a href=""https://www.grmc-wvumedicine.org/services/sub-acute-care"">Subacute Care</a></li>
 	<li id=""menu-item-1351"" class=""menu-item menu-item-type-custom menu-item-object-custom menu-item-1351""><a href=""https://www.grmc-wvumedicine.org/grantsville-medical-center"">Urgent Care</a></li>
 	<li id=""menu-item-1414"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1414""><a href=""https://www.grmc-wvumedicine.org/services/well-patient-program"">Well Patient Program</a></li>
 	<li id=""menu-item-1273"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1273""><a href=""https://www.grmc-wvumedicine.org/services/wound-care-and-diabetic-care"">Wound Care</a></li>
 	<li id=""menu-item-1272"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-1272""><a href=""https://www.grmc-wvumedicine.org/services/womens-healthcare"">Women’s Healthcare Close to Home</a></li>
 	<li id=""menu-item-2063"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-2063""><a href=""https://www.grmc-wvumedicine.org/services/wellness"">Worksite Wellness</a></li>
</ul>
</div></li>
</ul>",hospitals-and-health-services;emergency-services;diabetes,,,,301-533-4000,https://www.gcmh.com/,https://www.facebook.com/GCMHospital/,,9660
Garrett County Government,Garrett County Government,government,countycommissioners@garrettcounty.org,,,(301) 334-8970,http://www.garrettcounty.org,https://www.facebook.com/garrettcountygovernment/,,2055
Kitzmiller Volunteer Fire Department,"Company 70 Apparatus

Engine 71 - 1986 GMC
- 1000 GPM with a 750 gallon tank. This unit is our second due engine.

Engine-Tanker 72 - 2009 Spartan
- 1250 GPM pump with a 1800 gallon tank. This unit serves as our first due engine.

Tanker 76 - 2016 Freightliner
- 1000 GPM pump with a 1700 gallon tank. This unit serves on all fires when no hydrants are available.

Rescue 78 - 2005 Chevy Suburban
- Runs all ALS/BLS calls

Brush 79 - 2016 Chevy Silverado 3500
- This unit is used to fight brush fires.

Utility 70 - 1992 Chevy Silverado 3500
- This unit serves as utility for man power on calls along with training for members.

ATV 70 - 2012 Polaris Ranger
- This unit is used for all brush fires to provide more off road access to our members.",emergency-services,co70@gc911.org,,,(301) 453-3323,,https://www.facebook.com/Kitzmiller-Volunteer-Fire-Department-779103805520668/,,2559
Garrett County Public Schools,Garrett County Public Schools,education,public.info@garrettcountyschools.org,,,(301) 334-8900,http://www.garrettcountyschools.org,https://www.facebook.com/GCPSHappenings/,,2527
Garrett County Public Safety,"Proudly serving the citizens &amp; visitors of Garrett County, MD as the primary 911 answering point for the county. Police, Fire, and EMS communications",disaster-planning,,,,(301) 334-1929,https://www.garrettcounty.org/public-safety,https://www.facebook.com/garrettcounty.911/,,1806
